
Start time     : 2014-03-05T13:37:11
Program name   : esorex
Severity level : [ INFO  ] 

13:37:11 [ INFO  ] : Libraries used: CPL = 5.2.0, CFITSIO = 3.09, WCSLIB = 4.4.4, FFTW (single precision)

13:37:11 [ INFO  ] uves_initialize: **********************************
13:37:11 [ INFO  ] uves_initialize: *** FLAMES/UVES Pipeline 4.7.8 ***
13:37:11 [ INFO  ] uves_initialize: ***  Recipe: uves_obs_scired   ***
13:37:11 [ INFO  ] uves_initialize: **********************************
13:37:11 [ INFO  ] uves_initialize: This recipe reduces a science frame
13:37:11 [ INFO  ] uves_initialize:   Input frames
13:37:11 [ INFO  ] uves_print_cpl_frame:     RAW     SCIENCE_BLUE         'hem1341m1020_sci_390_08.fits'
13:37:11 [ INFO  ] uves_print_cpl_frame:     CALIB   MASTER_BIAS_BLUE     'masterbias_blue.fits'
13:37:11 [ INFO  ] uves_print_cpl_frame:     CALIB   MASTER_FLAT_BLUE     'masterflat_blue.fits'
13:37:11 [ INFO  ] uves_print_cpl_frame:     CALIB   ORDER_TABLE_BLUE     'ordertable_blue.fits'
13:37:11 [ INFO  ] uves_print_cpl_frame:     CALIB   LINE_TABLE_BLUE      'linetable_blue.fits'
13:37:11 [ INFO  ] load_raw_image:       Raw frame is blue, new format, file 'hem1341m1020_sci_390_08.fits' has 0 extensions
13:37:11 [ INFO  ] uves_crop_and_rotate:       Raw image cropped and rotated from 2048x3000 to 3000x2048
13:37:11 [ INFO  ] uves_reduce_scired:   No atmospheric extinction table. Flux calibration not done
13:37:11 [ INFO  ] uves_reduce_scired: Processing BLUE chip in 'hem1341m1020_sci_390_08.fits'
13:37:11 [ INFO  ] uves_reduce_scired:   Using master bias in 'masterbias_blue.fits'
13:37:11 [ INFO  ] uves_reduce_scired:   No master dark in SOF. Dark subtraction not done
13:37:11 [ INFO  ] uves_reduce_scired:   Using master flat in 'masterflat_blue.fits'
13:37:11 [ INFO  ] uves_reduce_scired:   Using order table in 'ordertable_blue.fits'
13:37:11 [ INFO  ] uves_reduce_scired:   Using line table(s) in 'linetable_blue.fits'
13:37:11 [ INFO  ] uves_reduce_scired:   Using line table(s) in 'linetable_blue.fits'
13:37:12 [ INFO  ] uves_reduce_scired:   Using line table(s) in 'linetable_blue.fits'
13:37:12 [ INFO  ] uves_scired_process_chip:   Reducing science object
13:37:12 [ INFO  ] uves_reduce:     Subtracting master bias
13:37:12 [ INFO  ] uves_reduce:     Skipping dark subtraction
13:37:12 [ INFO  ] uves_save_image_local:       Bias/dark subtracted raw image saved to 'pre_blue.fits'
